Year,Month,Day,Capital,Max Risk,No of lots,Trade Risk,Entry,Entry Time,Point Risk,Exit,Exit Time,PnL,New Capital
2017,03,28,1002189.9999999999,10021.9,2.0,7500.0,9081.5,2017-03-28 09:15:00+05:30,100.0,9102.35,2017-03-28 15:20:00+05:30,1563.7500000000273,1003753.7499999999
2017,03,29,1003753.7499999999,10037.537499999999,2.0,7500.0,9133.7,2017-03-29 09:15:00+05:30,100.0,9148.05,2017-03-29 15:20:00+05:30,1136.2499999999727,1004889.9999999999
2017,03,30,1004889.9999999999,10048.9,2.0,7500.0,9169.5,2017-03-30 09:45:00+05:30,100.0,9175.2,2017-03-30 15:20:00+05:30,517.4999999999727,1005407.4999999999
2017,03,31,1005407.4999999999,10054.074999999999,2.0,7500.0,9182.15,2017-03-31 14:08:00+05:30,100.0,9171.1,2017-03-31 15:20:00+05:30,-596.2499999999181,1004811.25
2017,04,03,1004811.25,10048.112500000001,2.0,7500.0,9220.6,2017-04-03 09:15:00+05:30,100.0,9237.9,2017-04-03 15:20:00+05:30,1432.5000000000273,1006243.75
2017,04,05,1006243.75,10062.4375,2.0,7500.0,9266.45,2017-04-05 14:35:00+05:30,100.0,9259.8,2017-04-05 15:20:00+05:30,-363.7500000000273,1005880.0
2017,04,10,1005880.0,10058.800000000001,2.0,7500.0,9225.6,2017-04-10 09:15:00+05:30,100.0,9179.7,2017-04-10 15:20:00+05:30,-3270.0000000000273,1002610.0
2017,04,11,1002610.0,10026.1,2.0,7500.0,9200.1,2017-04-11 09:48:00+05:30,100.0,9236.35,2017-04-11 15:20:00+05:30,2737.5,1005347.5
2017,04,18,1005347.5,10053.475,2.0,7500.0,9163.0,2017-04-18 09:15:00+05:30,100.0,9101.9,2017-04-18 15:20:00+05:30,-4233.750000000055,1001113.75
2017,04,20,1001113.75,10011.1375,2.0,7500.0,9137.0,2017-04-20 11:48:00+05:30,100.0,9137.9,2017-04-20 15:20:00+05:30,112.5,1001226.25
2017,04,21,1001226.25,10012.2625,2.0,7500.0,9179.1,2017-04-21 09:15:00+05:30,100.0,9121.0,2017-04-21 15:20:00+05:30,-4215.000000000055,997011.25
2017,04,24,997011.25,9970.112500000001,2.0,7500.0,9146.3,2017-04-24 09:18:00+05:30,100.0,9214.2,2017-04-24 15:20:00+05:30,5235.000000000082,1002246.2500000001
2017,04,25,1002246.2500000001,10022.462500000001,2.0,7500.0,9273.05,2017-04-25 09:15:00+05:30,100.0,9304.3,2017-04-25 15:20:00+05:30,2565.0000000000546,1004811.2500000001
2017,04,26,1004811.2500000001,10048.112500000001,2.0,7500.0,9336.2,2017-04-26 09:15:00+05:30,100.0,9352.85,2017-04-26 15:20:00+05:30,1469.9999999998909,1006281.25
2017,05,02,1006281.25,10062.8125,2.0,7500.0,9339.85,2017-05-02 09:15:00+05:30,100.0,9313.95,2017-05-02 15:20:00+05:30,-1878.750000000082,1004402.4999999999
2017,05,03,1004402.4999999999,10044.025,2.0,7500.0,9344.7,2017-05-03 09:15:00+05:30,100.0,9310.15,2017-05-03 15:20:00+05:30,-2475.0,1001927.4999999999
2017,05,04,1001927.4999999999,10019.275,2.0,7500.0,9360.95,2017-05-04 09:15:00+05:30,100.0,9359.55,2017-05-04 15:20:00+05:30,116.24999999994543,1002043.7499999999
2017,05,08,1002043.7499999999,10020.437499999998,2.0,7500.0,9311.45,2017-05-08 09:15:00+05:30,100.0,9312.05,2017-05-08 15:20:00+05:30,134.99999999994543,1002178.7499999999
2017,05,09,1002178.7499999999,10021.787499999999,2.0,7500.0,9337.35,2017-05-09 09:15:00+05:30,100.0,9316.2,2017-05-09 15:20:00+05:30,-1425.0,1000753.7499999999
2017,05,10,1000753.7499999999,10007.537499999999,2.0,7500.0,9347.95,2017-05-10 09:15:00+05:30,100.0,9409.4,2017-05-10 15:20:00+05:30,4762.5,1005516.2499999999
2017,05,11,1005516.2499999999,10055.162499999999,2.0,7500.0,9448.6,2017-05-11 09:15:00+05:30,100.0,9421.05,2017-05-11 15:20:00+05:30,-1860.0000000000819,1003656.2499999998
2017,05,12,1003656.2499999998,10036.562499999998,2.0,7500.0,9436.65,2017-05-12 09:15:00+05:30,100.0,9399.4,2017-05-12 15:20:00+05:30,-2508.749999999918,1001147.4999999999
2017,05,15,1001147.4999999999,10011.474999999999,2.0,7500.0,9433.55,2017-05-15 09:15:00+05:30,100.0,9441.9,2017-05-15 15:20:00+05:30,990.0000000000546,1002137.4999999999
2017,05,16,1002137.4999999999,10021.374999999998,2.0,7500.0,9470.8,2017-05-16 09:24:00+05:30,100.0,9510.9,2017-05-16 15:20:00+05:30,3041.250000000082,1005178.75
2017,05,19,1005178.75,10051.7875,2.0,7500.0,9469.9,2017-05-19 09:15:00+05:30,100.0,9426.0,2017-05-19 15:20:00+05:30,-3251.2500000000273,1001927.5
2017,05,22,1001927.5,10019.275,2.0,7500.0,9480.25,2017-05-22 09:15:00+05:30,100.0,9439.65,2017-05-22 15:20:00+05:30,-3045.0000000000273,998882.5
2017,05,24,998882.5,9988.825,2.0,7500.0,9410.9,2017-05-24 09:15:00+05:30,100.0,9360.2,2017-05-24 15:20:00+05:30,-3693.75,995188.75
2017,05,25,995188.75,9951.8875,2.0,7500.0,9394.1,2017-05-25 09:16:00+05:30,100.0,9506.0,2017-05-25 15:20:00+05:30,8531.25,1003720.0
2017,05,26,1003720.0,10037.2,2.0,7500.0,9527.6,2017-05-26 09:24:00+05:30,100.0,9589.7,2017-05-26 15:20:00+05:30,4904.999999999973,1008625.0
2017,05,29,1008625.0,10086.25,2.0,7500.0,9611.5,2017-05-29 09:27:00+05:30,100.0,9603.05,2017-05-29 15:20:00+05:30,-311.2499999999727,1008313.75
2017,05,30,1008313.75,10083.1375,2.0,7500.0,9623.25,2017-05-30 09:55:00+05:30,100.0,9620.25,2017-05-30 15:20:00+05:30,3.7499999999454303,1008317.5
2017,06,02,1008317.5,10083.175000000001,2.0,7500.0,9657.15,2017-06-02 09:15:00+05:30,100.0,9654.6,2017-06-02 15:20:00+05:30,-183.74999999991815,1008133.7500000001
2017,06,05,1008133.7500000001,10081.337500000001,2.0,7500.0,9667.35,2017-06-05 10:00:00+05:30,100.0,9675.4,2017-06-05 15:20:00+05:30,731.25,1008865.0000000001
2017,06,06,1008865.0000000001,10088.650000000001,2.0,7500.0,9704.25,2017-06-06 09:15:00+05:30,100.0,9637.35,2017-06-06 15:20:00+05:30,-4976.250000000027,1003888.7500000001
2017,06,07,1003888.7500000001,10038.8875,2.0,7500.0,9663.95,2017-06-07 09:15:00+05:30,100.0,9664.1,2017-06-07 15:20:00+05:30,179.99999999997272,1004068.7500000001
2017,06,08,1004068.7500000001,10040.687500000002,2.0,7500.0,9688.25,2017-06-08 09:15:00+05:30,100.0,9647.15,2017-06-08 15:20:00+05:30,-3026.2500000000273,1001042.5000000001
2017,06,13,1001042.5000000001,10010.425000000001,2.0,7500.0,9646.6,2017-06-13 09:30:00+05:30,100.0,9606.6,2017-06-13 15:20:00+05:30,-2898.7499999999727,998143.7500000001
2017,06,14,998143.7500000001,9981.437500000002,2.0,7500.0,9621.55,2017-06-14 09:15:00+05:30,100.0,9616.3,2017-06-14 15:20:00+05:30,-344.99999999989086,997798.7500000002
2017,06,16,997798.7500000002,9977.987500000003,2.0,7500.0,9602.95,2017-06-16 09:15:00+05:30,100.0,9586.15,2017-06-16 15:20:00+05:30,-1177.5000000000546,996621.2500000002
2017,06,19,996621.2500000002,9966.212500000003,2.0,7500.0,9626.4,2017-06-19 09:15:00+05:30,100.0,9655.95,2017-06-19 15:20:00+05:30,2291.250000000082,998912.5000000003
2017,06,22,998912.5000000003,9989.125000000004,2.0,7500.0,9665.0,2017-06-22 09:15:00+05:30,100.0,9629.5,2017-06-22 15:20:00+05:30,-2497.4999999999454,996415.0000000003
2017,06,27,996415.0000000003,9964.150000000003,2.0,7500.0,9602.35,2017-06-27 09:15:00+05:30,100.0,9502.05,2017-06-27 13:30:00+05:30,-7522.500000000083,988892.5000000002
2017,06,29,988892.5000000002,9888.925000000003,2.0,7500.0,9522.95,2017-06-29 09:15:00+05:30,100.0,9501.85,2017-06-29 15:20:00+05:30,-1582.5000000000273,987310.0000000002
2017,07,03,987310.0000000002,9873.100000000002,2.0,7500.0,9587.95,2017-07-03 09:15:00+05:30,100.0,9611.35,2017-07-03 15:20:00+05:30,1923.7499999999725,989233.7500000002
2017,07,04,989233.7500000002,9892.337500000003,2.0,7500.0,9645.9,2017-07-04 09:15:00+05:30,100.0,9606.35,2017-07-04 15:20:00+05:30,-2958.749999999918,986275.0000000003
2017,07,05,986275.0000000003,9862.750000000004,2.0,7500.0,9635.35,2017-07-05 11:06:00+05:30,100.0,9641.0,2017-07-05 15:20:00+05:30,509.9999999999454,986785.0000000003
2017,07,06,986785.0000000003,9867.850000000004,2.0,7500.0,9666.0,2017-07-06 09:49:00+05:30,100.0,9670.15,2017-07-06 15:20:00+05:30,311.2499999999727,987096.2500000003
